"phenotype","phenotype_sub","phenotype_sex","sgg_phesant_name","description","variable_type","SGG_available","phesant_processed","sgg_file","downloaded","category","define_category","v2_exists","v2_downloaded"
"981","981","both","981","Duration walking for pleasure","ordinal","TRUE","YES","/data/sgg2/jenny/data/UKBB_processed/PHESANT/ukb21067/bin1/out_bin1..tsv","YES","lifestyle","FALSE","FALSE","NA"
"991","991","both","991","Frequency of strenuous sports in last 4 weeks","ordinal","TRUE","YES","/data/sgg2/jenny/data/UKBB_processed/PHESANT/ukb21067/bin1/out_bin1..tsv","YES","lifestyle","FALSE","FALSE","NA"
"1001","1001","both","1001","Duration of strenuous sports","ordinal","TRUE","YES","/data/sgg2/jenny/data/UKBB_processed/PHESANT/ukb21067/bin1/out_bin1..tsv","YES","lifestyle","FALSE","FALSE","NA"
"1011","1011","both","1011","Frequency of light DIY in last 4 weeks","ordinal","TRUE","YES","/data/sgg2/jenny/data/UKBB_processed/PHESANT/ukb21067/bin1/out_bin1..tsv","YES","lifestyle","FALSE","FALSE","NA"
"1021","1021","both","1021","Duration of light DIY","ordinal","TRUE","YES","/data/sgg2/jenny/data/UKBB_processed/PHESANT/ukb21067/bin1/out_bin1..tsv","YES","lifestyle","FALSE","FALSE","NA"
"1031","1031","both","NA","Frequency of friend/family visits","ordinal","FALSE","NA","NA","NO","NA","TRUE","FALSE","NA"
"1050","1050","both","1050","Time spend outdoors in summer","ordinal","TRUE","YES","/data/sgg2/jenny/data/UKBB_processed/PHESANT/ukb21067/bin1/out_bin1..tsv","YES","lifestyle","FALSE","FALSE","NA"
"1060","1060","both","1060","Time spent outdoors in winter","ordinal","TRUE","YES","/data/sgg2/jenny/data/UKBB_processed/PHESANT/ukb21067/bin1/out_bin1..tsv","YES","lifestyle","FALSE","FALSE","NA"
"1070","1070","both","1070","Time spent watching television (TV)","ordinal","TRUE","YES","/data/sgg2/jenny/data/UKBB_processed/PHESANT/ukb21067/bin1/out_bin1..tsv","YES","lifestyle","FALSE","FALSE","NA"
"1080","1080","both","1080","Time spent using computer","ordinal","TRUE","YES","/data/sgg2/jenny/data/UKBB_processed/PHESANT/ukb21067/bin1/out_bin1..tsv","YES","lifestyle","FALSE","FALSE","NA"
"1090","1090","both","1090","Time spent driving","ordinal","TRUE","YES","/data/sgg2/jenny/data/UKBB_processed/PHESANT/ukb21067/bin1/out_bin1..tsv","YES","lifestyle","FALSE","FALSE","NA"
"1100","1100","both","1100","Drive faster than motorway speed limit","ordinal","TRUE","YES","/data/sgg2/jenny/data/UKBB_processed/PHESANT/ukb21067/bin1/out_bin1..tsv","YES","lifestyle","FALSE","FALSE","NA"
"1110","1110","both","1110","Length of mobile phone use","ordinal","TRUE","YES","/data/sgg2/jenny/data/UKBB_processed/PHESANT/ukb21067/bin1/out_bin1..tsv","YES","lifestyle","FALSE","FALSE","NA"
"1120","1120","both","1120","Weekly usage of mobile phone in last 3 months","ordinal","TRUE","YES","/data/sgg2/jenny/data/UKBB_processed/PHESANT/ukb21067/bin1/out_bin1..tsv","YES","lifestyle","FALSE","FALSE","NA"
"1130","1130","both","1130","Hands-free device/speakerphone use with mobile phone in last 3 month","ordinal","TRUE","YES","/data/sgg2/jenny/data/UKBB_processed/PHESANT/ukb21067/bin1/out_bin1..tsv","YES","lifestyle","FALSE","FALSE","NA"
"1140","1140","both","1140","Difference in mobile phone use compared to two years previously","ordinal","TRUE","YES","/data/sgg2/jenny/data/UKBB_processed/PHESANT/ukb21067/bin1/out_bin1..tsv","NO","NA","TRUE","FALSE","NA"
"1160","1160","both","1160","Sleep duration","ordinal","TRUE","YES","/data/sgg2/jenny/data/UKBB_processed/PHESANT/ukb21067/bin1/out_bin1..tsv","YES","lifestyle","FALSE","FALSE","NA"
"1170","1170","both","1170","Getting up in morning","ordinal","TRUE","YES","/data/sgg2/jenny/data/UKBB_processed/PHESANT/ukb21067/bin1/out_bin1..tsv","NO","NA","TRUE","FALSE","NA"
"1180","1180","both","1180","Morning/evening person (chronotype)","ordinal","TRUE","YES","/data/sgg2/jenny/data/UKBB_processed/PHESANT/ukb21067/bin1/out_bin1..tsv","YES","lifestyle","FALSE","FALSE","NA"
"1190","1190","both","1190","Nap during day","ordinal","TRUE","YES","/data/sgg2/jenny/data/UKBB_processed/PHESANT/ukb21067/bin1/out_bin1..tsv","YES","lifestyle","FALSE","FALSE","NA"
"1200","1200","both","1200","Sleeplessness / insomnia","ordinal","TRUE","YES","/data/sgg2/jenny/data/UKBB_processed/PHESANT/ukb21067/bin1/out_bin1..tsv","YES","lifestyle","FALSE","FALSE","NA"
"1220","1220","both","1220","Daytime dozing / sleeping (narcolepsy)","ordinal","TRUE","YES","/data/sgg2/jenny/data/UKBB_processed/PHESANT/ukb21067/bin1/out_bin1..tsv","YES","lifestyle","FALSE","FALSE","NA"
"1239","1239","both","1239","Current tobacco smoking","ordinal","TRUE","YES","/data/sgg2/jenny/data/UKBB_processed/PHESANT/ukb21067/bin1/out_bin1..tsv","YES","lifestyle","FALSE","FALSE","NA"
"1249","1249","both","1249","Past tobacco smoking","ordinal","TRUE","YES","/data/sgg2/jenny/data/UKBB_processed/PHESANT/ukb21067/bin1/out_bin1..tsv","YES","lifestyle","FALSE","FALSE","NA"
"1259","1259","both","1259","Smoking/smokers in household","ordinal","TRUE","YES","/data/sgg2/jenny/data/UKBB_processed/PHESANT/ukb21067/bin1/out_bin1..tsv","YES","lifestyle","FALSE","FALSE","NA"
"1269","1269","both","1269","Exposure to tobacco smoke at home","ordinal","TRUE","YES","/data/sgg2/jenny/data/UKBB_processed/PHESANT/ukb21067/bin1/out_bin1..tsv","YES","lifestyle","FALSE","FALSE","NA"
"1279","1279","both","1279","Exposure to tobacco smoke outside home","ordinal","TRUE","YES","/data/sgg2/jenny/data/UKBB_processed/PHESANT/ukb21067/bin1/out_bin1..tsv","YES","lifestyle","FALSE","FALSE","NA"
"1289","1289","both","1289","Cooked vegetable intake","ordinal","TRUE","YES","/data/sgg2/jenny/data/UKBB_processed/PHESANT/ukb21067/bin1/out_bin1..tsv","YES","diet","FALSE","FALSE","NA"
"1299","1299","both","1299","Salad / raw vegetable intake","ordinal","TRUE","YES","/data/sgg2/jenny/data/UKBB_processed/PHESANT/ukb21067/bin1/out_bin1..tsv","YES","diet","FALSE","FALSE","NA"
"1309","1309","both","1309","Fresh fruit intake","ordinal","TRUE","YES","/data/sgg2/jenny/data/UKBB_processed/PHESANT/ukb21067/bin1/out_bin1..tsv","YES","diet","FALSE","FALSE","NA"
"1319","1319","both","1319","Dried fruit intake","ordinal","TRUE","YES","/data/sgg2/jenny/data/UKBB_processed/PHESANT/ukb21067/bin1/out_bin1..tsv","YES","diet","FALSE","FALSE","NA"
"1329","1329","both","1329","Oily fish intake","ordinal","TRUE","YES","/data/sgg2/jenny/data/UKBB_processed/PHESANT/ukb21067/bin1/out_bin1..tsv","YES","diet","FALSE","FALSE","NA"
"1339","1339","both","1339","Non-oily fish intake","ordinal","TRUE","YES","/data/sgg2/jenny/data/UKBB_processed/PHESANT/ukb21067/bin1/out_bin1..tsv","YES","diet","FALSE","FALSE","NA"
"1349","1349","both","1349","Processed meat intake","ordinal","TRUE","YES","/data/sgg2/jenny/data/UKBB_processed/PHESANT/ukb21067/bin1/out_bin1..tsv","YES","diet","FALSE","FALSE","NA"
"1359","1359","both","1359","Poultry intake","ordinal","TRUE","YES","/data/sgg2/jenny/data/UKBB_processed/PHESANT/ukb21067/bin1/out_bin1..tsv","YES","diet","FALSE","FALSE","NA"
"1369","1369","both","1369","Beef intake","ordinal","TRUE","YES","/data/sgg2/jenny/data/UKBB_processed/PHESANT/ukb21067/bin1/out_bin1..tsv","YES","diet","FALSE","FALSE","NA"
"1379","1379","both","1379","Lamb/mutton intake","ordinal","TRUE","YES","/data/sgg2/jenny/data/UKBB_processed/PHESANT/ukb21067/bin1/out_bin1..tsv","YES","diet","FALSE","FALSE","NA"
"1389","1389","both","1389","Pork intake","ordinal","TRUE","YES","/data/sgg2/jenny/data/UKBB_processed/PHESANT/ukb21067/bin1/out_bin1..tsv","YES","diet","FALSE","FALSE","NA"
"1408","1408","both","1408","Cheese intake","ordinal","TRUE","YES","/data/sgg2/jenny/data/UKBB_processed/PHESANT/ukb21067/bin1/out_bin1..tsv","YES","diet","FALSE","FALSE","NA"
"1458","1458","both","1458","Cereal intake","ordinal","TRUE","YES","/data/sgg2/jenny/data/UKBB_processed/PHESANT/ukb21067/bin1/out_bin1..tsv","YES","diet","FALSE","FALSE","NA"
"1478","1478","both","1478","Salt added to food","ordinal","TRUE","YES","/data/sgg2/jenny/data/UKBB_processed/PHESANT/ukb21067/bin1/out_bin1..tsv","YES","diet","FALSE","FALSE","NA"
"1498","1498","both","1498","Coffee intake","ordinal","TRUE","YES","/data/sgg2/jenny/data/UKBB_processed/PHESANT/ukb21067/bin1/out_bin1..tsv","YES","diet","FALSE","FALSE","NA"
"1518","1518","both","1518","Hot drink temperature","ordinal","TRUE","YES","/data/sgg2/jenny/data/UKBB_processed/PHESANT/ukb21067/bin1/out_bin1..tsv","NO","NA","TRUE","FALSE","NA"
"1528","1528","both","1528","Water intake","ordinal","TRUE","YES","/data/sgg2/jenny/data/UKBB_processed/PHESANT/ukb21067/bin1/out_bin1..tsv","YES","diet","FALSE","FALSE","NA"
"1548","1548","both","1548","Variation in diet","ordinal","TRUE","YES","/data/sgg2/jenny/data/UKBB_processed/PHESANT/ukb21067/bin1/out_bin1..tsv","YES","diet","FALSE","FALSE","NA"
"1558","1558","both","1558","Alcohol intake frequency.","ordinal","TRUE","YES","/data/sgg2/jenny/data/UKBB_processed/PHESANT/ukb21067/bin1/out_bin1..tsv","YES","lifestyle","FALSE","FALSE","NA"
"1568","1568","both","1568","Average weekly red wine intake","ordinal","TRUE","YES","/data/sgg2/jenny/data/UKBB_processed/PHESANT/ukb21067/bin1/out_bin1..tsv","YES","lifestyle","FALSE","FALSE","NA"
"1578","1578","both","1578","Average weekly champagne plus white wine intake","ordinal","TRUE","YES","/data/sgg2/jenny/data/UKBB_processed/PHESANT/ukb21067/bin1/out_bin1..tsv","YES","lifestyle","FALSE","FALSE","NA"
"1588","1588","both","1588","Average weekly beer plus cider intake","ordinal","TRUE","YES","/data/sgg2/jenny/data/UKBB_processed/PHESANT/ukb21067/bin1/out_bin1..tsv","YES","lifestyle","FALSE","FALSE","NA"
"1598","1598","both","1598","Average weekly spirits intake","ordinal","TRUE","YES","/data/sgg2/jenny/data/UKBB_processed/PHESANT/ukb21067/bin1/out_bin1..tsv","YES","lifestyle","FALSE","FALSE","NA"
"1608","1608","both","1608","Average weekly fortified wine intake","ordinal","TRUE","YES","/data/sgg2/jenny/data/UKBB_processed/PHESANT/ukb21067/bin1/out_bin1..tsv","YES","lifestyle","FALSE","FALSE","NA"
"1628","1628","both","1628","Alcohol intake versus 10 years previously","ordinal","TRUE","YES","/data/sgg2/jenny/data/UKBB_processed/PHESANT/ukb21067/bin1/out_bin1..tsv","YES","lifestyle","FALSE","FALSE","NA"
"1687","1687","both","1687","Comparative body size at age 10","ordinal","TRUE","YES","/data/sgg2/jenny/data/UKBB_processed/PHESANT/ukb22819/bin1/out_bin1..tsv","YES","body","FALSE","FALSE","NA"
"1697","1697","both","NA","Comparative height size at age 10","ordinal","FALSE","NA","NA","YES","body","FALSE","FALSE","NA"
"1717","1717","both","1717","Skin colour","ordinal","TRUE","YES","/data/sgg2/jenny/data/UKBB_processed/PHESANT/ukb21067/bin1/out_bin1..tsv","YES","body","FALSE","FALSE","NA"
"1727","1727","both","1727","Ease of skin tanning","ordinal","TRUE","YES","/data/sgg2/jenny/data/UKBB_processed/PHESANT/ukb21067/bin1/out_bin1..tsv","NO","NA","TRUE","FALSE","NA"
"1737","1737","both","1737","Childhood sunburn occasions","ordinal","TRUE","YES","/data/sgg2/jenny/data/UKBB_processed/PHESANT/ukb21067/bin1/out_bin1..tsv","NO","NA","TRUE","FALSE","NA"
"1757","1757","both","1757","Facial ageing","ordinal","TRUE","YES","/data/sgg2/jenny/data/UKBB_processed/PHESANT/ukb21067/bin1/out_bin1..tsv","NO","NA","TRUE","FALSE","NA"
"1873","1873","both","1873","Number of full brothers","ordinal","TRUE","YES","/data/sgg2/jenny/data/UKBB_processed/PHESANT/ukb22819/bin1/out_bin1..tsv","NO","NA","TRUE","FALSE","NA"
"1883","1883","both","1883","Number of full sisters","ordinal","TRUE","YES","/data/sgg2/jenny/data/UKBB_processed/PHESANT/ukb22819/bin1/out_bin1..tsv","NO","NA","TRUE","FALSE","NA"
"2050","2050","both","2050","Frequency of depressed mood in last 2 weeks","ordinal","TRUE","YES","/data/sgg2/jenny/data/UKBB_processed/PHESANT/ukb21067/bin1/out_bin1..tsv","YES","disease_proxy","FALSE","FALSE","NA"
"2060","2060","both","2060","Frequency of unenthusiasm / disinterest in last 2 weeks","ordinal","TRUE","YES","/data/sgg2/jenny/data/UKBB_processed/PHESANT/ukb21067/bin1/out_bin1..tsv","NO","NA","TRUE","FALSE","NA"
"2070","2070","both","2070","Frequency of tenseness / restlessness in last 2 weeks","ordinal","TRUE","YES","/data/sgg2/jenny/data/UKBB_processed/PHESANT/ukb21067/bin1/out_bin1..tsv","NO","NA","TRUE","FALSE","NA"
"2080","2080","both","2080","Frequency of tiredness / lethargy in last 2 weeks","ordinal","TRUE","YES","/data/sgg2/jenny/data/UKBB_processed/PHESANT/ukb21067/bin1/out_bin1..tsv","YES","disease_proxy","FALSE","FALSE","NA"
"2110","2110","both","NA","Able to confide","ordinal","FALSE","NA","NA","NO","NA","TRUE","FALSE","NA"
"2149","2149","both","2149","Lifetime number of sexual partners","ordinal","TRUE","YES","/data/sgg2/jenny/data/UKBB_processed/PHESANT/ukb21067/bin1/out_bin1..tsv","YES","lifestyle","FALSE","FALSE","NA"
"2178","2178","both","2178","Overall health rating","ordinal","TRUE","YES","/data/sgg2/jenny/data/UKBB_processed/PHESANT/ukb21067/bin1/out_bin1..tsv","YES","disease_proxy","FALSE","FALSE","NA"
"2237","2237","both","2237","Plays computer games","ordinal","TRUE","YES","/data/sgg2/jenny/data/UKBB_processed/PHESANT/ukb21067/bin1/out_bin1..tsv","YES","lifestyle","FALSE","FALSE","NA"
"2267","2267","both","2267","Use of sun/uv protection","ordinal","TRUE","YES","/data/sgg2/jenny/data/UKBB_processed/PHESANT/ukb21067/bin1/out_bin1..tsv","NO","NA","TRUE","FALSE","NA"
"2277","2277","both","2277","Frequency of solarium/sunlamp use","ordinal","TRUE","YES","/data/sgg2/jenny/data/UKBB_processed/PHESANT/ukb21067/bin1/out_bin1..tsv","YES","lifestyle","FALSE","FALSE","NA"
"2296","2296","both","2296","Falls in the last year","ordinal","TRUE","YES","/data/sgg2/jenny/data/UKBB_processed/PHESANT/ukb21067/bin1/out_bin1..tsv","NO","NA","TRUE","FALSE","NA"
"2306","2306","both","2306","Weight change compared with 1 year ago","ordinal","TRUE","YES","/data/sgg2/jenny/data/UKBB_processed/PHESANT/ukb21067/bin1/out_bin1..tsv","YES","body","FALSE","FALSE","NA"
"2355","2355","both","NA","Most recent bowel cancer screening","ordinal","FALSE","NA","NA","NO","NA","TRUE","FALSE","NA"
"2375","2375","both","2375","Relative age of first facial hair","ordinal","TRUE","YES","/data/sgg2/jenny/data/UKBB_processed/PHESANT/ukb22819/bin1/out_bin1..tsv","NO","NA","TRUE","FALSE","NA"
"2385","2385","both","2385","Relative age voice broke","ordinal","TRUE","YES","/data/sgg2/jenny/data/UKBB_processed/PHESANT/ukb22819/bin1/out_bin1..tsv","NO","NA","TRUE","FALSE","NA"
"2405","2405","both","2405","Number of children fathered","ordinal","TRUE","YES","/data/sgg2/jenny/data/UKBB_processed/PHESANT/ukb22819/bin1/out_bin1..tsv","NO","NA","TRUE","FALSE","NA"
"2624","2624","both","2624","Frequency of heavy DIY in last 4 weeks","ordinal","TRUE","YES","/data/sgg2/jenny/data/UKBB_processed/PHESANT/ukb21067/bin1/out_bin1..tsv","YES","lifestyle","FALSE","FALSE","NA"
"2634","2634","both","2634","Duration of heavy DIY","ordinal","TRUE","YES","/data/sgg2/jenny/data/UKBB_processed/PHESANT/ukb21067/bin1/out_bin1..tsv","YES","lifestyle","FALSE","FALSE","NA"
"2684","2684","both","NA","Years since last breast cancer screening / mammogram","ordinal","FALSE","NA","NA","NO","NA","TRUE","FALSE","NA"
"2704","2704","both","NA","Years since last cervical smear test","ordinal","FALSE","NA","NA","NO","NA","TRUE","FALSE","NA"
"2714","2714","both","2714","Age when periods started (menarche)","ordinal","TRUE","YES","/data/sgg2/jenny/data/UKBB_processed/PHESANT/ukb21067/bin1/out_bin1..tsv","YES","disease_proxy","FALSE","FALSE","NA"
"2744","2744","both","2744","Birth weight of first child","ordinal","TRUE","YES","/data/sgg2/jenny/data/UKBB_processed/PHESANT/ukb22819/bin1/out_bin1..tsv","NO","NA","TRUE","FALSE","NA"
"2887","2887","both","2887","Number of cigarettes previously smoked daily","ordinal","TRUE","YES","/data/sgg2/jenny/data/UKBB_processed/PHESANT/ukb21067/bin1/out_bin1..tsv","YES","lifestyle","FALSE","FALSE","NA"
"2926","2926","both","2926","Number of unsuccessful stop-smoking attempts","ordinal","TRUE","YES","/data/sgg2/jenny/data/UKBB_processed/PHESANT/ukb21067/bin1/out_bin1..tsv","YES","lifestyle","FALSE","FALSE","NA"
"2936","2936","both","2936","Likelihood of resuming smoking","ordinal","TRUE","YES","/data/sgg2/jenny/data/UKBB_processed/PHESANT/ukb21067/bin1/out_bin1..tsv","YES","lifestyle","FALSE","FALSE","NA"
"3426","3426","both","3426","Job involve night shift work","ordinal","TRUE","YES","/data/sgg2/jenny/data/UKBB_processed/PHESANT/ukb21067/bin1/out_bin1..tsv","NO","NA","TRUE","FALSE","NA"
"3456","3456","both","3456","Number of cigarettes currently smoked daily (current cigarette smokers)","ordinal","TRUE","YES","/data/sgg2/jenny/data/UKBB_processed/PHESANT/ukb21067/bin1/out_bin1..tsv","YES","lifestyle","FALSE","FALSE","NA"
"3466","3466","both","3466","Time from waking to first cigarette","ordinal","TRUE","YES","/data/sgg2/jenny/data/UKBB_processed/PHESANT/ukb21067/bin1/out_bin1..tsv","YES","lifestyle","FALSE","FALSE","NA"
"3476","3476","both","3476","Difficulty not smoking for 1 day","ordinal","TRUE","YES","/data/sgg2/jenny/data/UKBB_processed/PHESANT/ukb21067/bin1/out_bin1..tsv","YES","lifestyle","FALSE","FALSE","NA"
"3486","3486","both","3486","Ever tried to stop smoking","ordinal","TRUE","YES","/data/sgg2/jenny/data/UKBB_processed/PHESANT/ukb21067/bin1/out_bin1..tsv","YES","lifestyle","FALSE","FALSE","NA"
"3496","3496","both","3496","Wants to stop smoking","ordinal","TRUE","YES","/data/sgg2/jenny/data/UKBB_processed/PHESANT/ukb21067/bin1/out_bin1..tsv","YES","lifestyle","FALSE","FALSE","NA"
"3637","3637","both","3637","Frequency of other exercises in last 4 weeks","ordinal","TRUE","YES","/data/sgg2/jenny/data/UKBB_processed/PHESANT/ukb21067/bin1/out_bin1..tsv","YES","lifestyle","FALSE","FALSE","NA"
"3647","3647","both","3647","Duration of other exercises","ordinal","TRUE","YES","/data/sgg2/jenny/data/UKBB_processed/PHESANT/ukb21067/bin1/out_bin1..tsv","YES","lifestyle","FALSE","FALSE","NA"
"3669","3669","both","3669","Lifetime number of same-sex sexual partners","ordinal","TRUE","YES","/data/sgg2/jenny/data/UKBB_processed/PHESANT/ukb21067/bin1/out_bin1..tsv","NO","NA","TRUE","FALSE","NA"
"3710","3710","both","3710","Length of menstrual cycle","ordinal","TRUE","YES","/data/sgg2/jenny/data/UKBB_processed/PHESANT/ukb21067/bin1/out_bin1..tsv","NO","NA","TRUE","FALSE","NA"
"3829","3829","both","3829","Number of stillbirths","ordinal","TRUE","YES","/data/sgg2/jenny/data/UKBB_processed/PHESANT/ukb22819/bin1/out_bin1..tsv","NO","NA","TRUE","FALSE","NA"
"3839","3839","both","3839","Number of spontaneous miscarriages","ordinal","TRUE","YES","/data/sgg2/jenny/data/UKBB_processed/PHESANT/ukb22819/bin1/out_bin1..tsv","NO","NA","TRUE","FALSE","NA"
"3849","3849","both","3849","Number of pregnancy terminations","ordinal","TRUE","YES","/data/sgg2/jenny/data/UKBB_processed/PHESANT/ukb22819/bin1/out_bin1..tsv","NO","NA","TRUE","FALSE","NA"
"4260","4260","both","4260","Round of numeric memory test","ordinal","TRUE","YES","/data/sgg2/jenny/data/UKBB_processed/PHESANT/ukb21071/bin1/out_bin1..tsv","NO","NA","TRUE","FALSE","NA"
"4269","4269","both","NA","Number of triplets attempted (left)","ordinal","FALSE","NA","NA","NO","NA","TRUE","FALSE","NA"
"4270","4270","both","NA","Volume level set by participant (left)","ordinal","FALSE","NA","NA","NO","NA","TRUE","FALSE","NA"
"4276","4276","both","NA","Number of triplets attempted (right)","ordinal","FALSE","NA","NA","NO","NA","TRUE","FALSE","NA"
"4277","4277","both","NA","Volume level set by participant (right)","ordinal","FALSE","NA","NA","NO","NA","TRUE","FALSE","NA"
"4282","4282","both","4282","Maximum digits remembered correctly","ordinal","TRUE","YES","/data/sgg2/jenny/data/UKBB_processed/PHESANT/ukb21071/bin1/out_bin1..tsv","NO","NA","TRUE","FALSE","NA"
"4283","4283","both","4283","Number of rounds of numeric memory test performed","ordinal","TRUE","YES","/data/sgg2/jenny/data/UKBB_processed/PHESANT/ukb21071/bin1/out_bin1..tsv","NO","NA","TRUE","FALSE","NA"
"4407","4407","both","4407","Average monthly red wine intake","ordinal","TRUE","YES","/data/sgg2/jenny/data/UKBB_processed/PHESANT/ukb21067/bin1/out_bin1..tsv","YES","lifestyle","FALSE","FALSE","NA"
"4418","4418","both","4418","Average monthly champagne plus white wine intake","ordinal","TRUE","YES","/data/sgg2/jenny/data/UKBB_processed/PHESANT/ukb21067/bin1/out_bin1..tsv","YES","lifestyle","FALSE","FALSE","NA"
"4429","4429","both","4429","Average monthly beer plus cider intake","ordinal","TRUE","YES","/data/sgg2/jenny/data/UKBB_processed/PHESANT/ukb21067/bin1/out_bin1..tsv","YES","lifestyle","FALSE","FALSE","NA"
"4440","4440","both","4440","Average monthly spirits intake","ordinal","TRUE","YES","/data/sgg2/jenny/data/UKBB_processed/PHESANT/ukb21067/bin1/out_bin1..tsv","YES","lifestyle","FALSE","FALSE","NA"
"4451","4451","both","4451","Average monthly fortified wine intake","ordinal","TRUE","YES","/data/sgg2/jenny/data/UKBB_processed/PHESANT/ukb21067/bin1/out_bin1..tsv","YES","lifestyle","FALSE","FALSE","NA"
"4462","4462","both","4462","Average monthly intake of other alcoholic drinks","ordinal","TRUE","YES","/data/sgg2/jenny/data/UKBB_processed/PHESANT/ukb21067/bin1/out_bin1..tsv","YES","lifestyle","FALSE","FALSE","NA"
"4526","4526","both","4526","Happiness","ordinal","TRUE","YES","/data/sgg2/jenny/data/UKBB_processed/PHESANT/ukb21067/bin1/out_bin1..tsv","YES","lifestyle","FALSE","FALSE","NA"
"4537","4537","both","4537","Work/job satisfaction","ordinal","TRUE","YES","/data/sgg2/jenny/data/UKBB_processed/PHESANT/ukb21067/bin1/out_bin1..tsv","YES","lifestyle","FALSE","FALSE","NA"
"4548","4548","both","4548","Health satisfaction","ordinal","TRUE","YES","/data/sgg2/jenny/data/UKBB_processed/PHESANT/ukb21067/bin1/out_bin1..tsv","NO","NA","TRUE","FALSE","NA"
